Ouenza (35.95333, 8.12917) 翻译为: 温扎
L'Arbaa Nait Irathen (36.63112, 4.19864) 翻译为: 拉尔巴奈特伊拉森
Larbaa (36.56471, 3.15434) 翻译为: 拉尔巴
Lakhdaria (36.56463, 3.5933) 翻译为: 拉赫达里亚
Laghouat (33.8, 2.86514) 翻译为: 拉古阿特
Ksar el Boukhari (35.88889, 2.74905) 翻译为: 布哈里堡
Ksar Chellala (35.21222, 2.31889) 翻译为: 切拉拉堡
Kolea (36.63888, 2.76845) 翻译为: 科莱阿
Khenchela (35.43583, 7.14333) 翻译为: 亨舍拉
Khemis Miliana (36.26104, 2.22015) 翻译为: 米利亚纳星期四
Khemis el Khechna (36.64997, 3.3308) 翻译为: 克赫纳星期四
Kerkera (36.92917, 6.58556) 翻译为: 克尔克拉
Kais (35.49474, 6.92492) 翻译为: 凯斯
Jijel (36.821, 5.76352) 翻译为: 吉杰尔
Djidiouia (35.92989, 0.82871) 翻译为: 吉迪乌亚
In Guezzam (19.57361, 5.76806) 翻译为: 因盖赞
Illizi (26.48333, 8.46667) 翻译为: 伊利齐
Ighram (36.46295, 4.50532) 翻译为: 伊格拉姆
Hennaya (34.95139, -1.36806) 翻译为: 亨纳亚
Heliopolis (36.50361, 7.44278) 翻译为: 赫利奥波利斯
Hassi Messaoud (31.68041, 6.07286) 翻译为: 哈西梅萨乌德
Assi Bou Nif (35.69222, -0.49944) 翻译为: 阿西布尼夫
Hassi Bahbah (35.07109, 3.0299) 翻译为: 哈西巴赫巴赫
Hammam Righa (36.37972, 2.39889) 翻译为: 哈马姆里加
Hammamet (36.4, 10.61667) 翻译为: 哈马马特
Hammam Bou Hadjar (35.37889, -0.96778) 翻译为: 哈马姆布哈贾尔
Hamma Bouziane (36.41205, 6.59603) 翻译为: 哈马布齐安
Hadjout (36.51257, 2.41382) 翻译为: 哈德朱特
Guerara (32.79211, 4.49949) 翻译为: 盖拉拉
Guemar (33.48529, 6.79693) 翻译为: 盖马尔
Guelma (36.46214, 7.42608) 翻译为: 盖尔马
Grarem (36.51611, 6.32722) 翻译为: 格拉雷姆
Ghazaouet (35.09579, -1.85772) 翻译为: 加扎乌埃特
Ghardaia (32.49094, 3.67347) 翻译为: 加尔达耶
Gdyel (35.78111, -0.42581) 翻译为: 盖迪耶尔
Frenda (35.06544, 1.04945) 翻译为: 弗伦达
Freha (36.75234, 4.3155) 翻译为: 弗雷哈
Feraoun (36.56041, 4.85454) 翻译为: 费拉翁
Feidh el Botma (34.5, 3.76667) 翻译为: 费德博特马
Fedj M'Zala (36.40937, 5.94463) 翻译为: 费杰姆扎拉
Fatis (29.73354, 0.65851) 翻译为: 法蒂斯
Es Senia (35.64779, -0.62397) 翻译为: 埃斯塞尼亚
En Nedjma (35.64785, -0.5695) 翻译为: 恩内杰马
El Tarf (36.7672, 8.31377) 翻译为: 埃尔塔尔夫
El Oued (33.35608, 6.86319) 翻译为: 埃尔瓦德
El Milia (36.75472, 6.2725) 翻译为: 埃尔米利亚
El Meghaier (33.95139, 5.92222) 翻译为: 埃尔梅盖尔
El Malah (35.39137, -1.09238) 翻译为: 埃尔马拉赫
El Kseur (36.67942, 4.8555) 翻译为: 埃尔克瑟尔
El Khroub (36.26333, 6.69361) 翻译为: 埃尔赫鲁卜
El Kala (36.89556, 8.44333) 翻译为: 埃尔卡拉
El Idrissia (34.44542, 2.52749) 翻译为: 埃尔伊德里西亚
El Hadjira (32.61336, 5.51259) 翻译为: 埃尔哈吉拉
El Hadjar (36.80377, 7.73684) 翻译为: 埃尔哈贾尔
El Menia (30.57556, 2.88417) 翻译为: 埃尔梅尼亚
El Eulma (36.15281, 5.69016) 翻译为: 埃尔乌尔马
El Bayadh (33.68318, 1.01927) 翻译为: 埃尔巴亚德
El Attaf (36.22393, 1.67187) 翻译为: 埃尔阿塔夫
Chlef (36.16525, 1.33452) 翻译为: 谢莱夫
El Arrouch (36.65306, 6.83639) 翻译为: 埃尔阿鲁什
El Aouinet (35.86691, 7.88673) 翻译为: 埃尔阿维内特
El Amria (35.52439, -1.01577) 翻译为: 埃尔阿姆里亚
